Model_Parameters,GPU_Type,Training_Hours,Dataset_Size_MB,Energy_kWh,CO2_kg
159611583,CPU,22.82,1055.84,5.482,1.901
164728695,CPU,19.77,5407.19,5.553,2.12
164998096,CPU,10.05,4433.59,2.733,0.861
168356274,CPU,15.72,8395.64,4.856,1.798
175365511,CPU,3.84,4747.1,1.059,0.374
175705812,CPU,7.22,5961.76,2.074,0.729
182397746,CPU,4.69,9718.13,1.514,0.484
192696954,CPU,21.52,4049.93,5.836,2.173
200406714,CPU,9.48,8714.25,2.992,0.909
200933207,CPU,21.89,2038.77,5.542,1.987
207574876,CPU,17.2,7464.51,5.241,1.634
232682073,CPU,10.06,3546.64,2.721,1.072
250905452,CPU,9.61,282.96,2.317,1.001
255117929,CPU,16.78,3017.24,4.49,1.587
257271687,CPU,5.07,9655.44,1.679,0.679
259062911,CPU,23.94,6818.42,7.286,2.576
268661545,CPU,13.7,4466.64,3.875,1.568
281850191,CPU,15.82,5845.11,4.706,1.454
294456038,CPU,13.68,8535.69,4.444,1.698
317209640,CPU,1.46,360.58,0.362,0.219
318210614,CPU,15.07,3113.89,4.139,1.682
336941009,CPU,17.47,2160.85,4.667,1.51
337238917,CPU,3.11,6564.47,0.966,0.391
340590705,CPU,14.35,9544.59,4.881,1.524
352946650,CPU,18.37,1193.07,4.759,1.482
358645979,CPU,7.76,9858.37,2.681,1.125
358741554,CPU,7.25,6328.61,2.251,0.845
362885122,CPU,12.68,7542.87,4.095,1.629
376844589,CPU,11.93,9110.65,4.058,1.551
379212409,CPU,21.47,8590.08,7.198,2.504
386246027,CPU,3.08,6418.03,0.968,0.415
387025957,CPU,8.64,1571.5,2.298,1.002
396044020,CPU,4.16,5591.16,1.278,0.605
397637620,CPU,17.6,660.79,4.537,1.493
400151681,CPU,14.69,6465.88,4.647,1.835
402480415,CPU,7.94,2809.0,2.222,1.022
406676334,CPU,13.11,4629.73,3.914,1.469
412890566,CPU,12.41,1679.96,3.343,1.125
417251690,CPU,17.29,2491.81,4.807,1.602
428717902,CPU,21.67,7131.99,7.069,2.722
429421446,CPU,5.7,6392.26,1.817,0.781
431368122,CPU,8.71,8349.28,2.952,0.989
444769514,CPU,14.9,4538.59,4.493,1.73
452508270,CPU,15.99,1211.38,4.29,1.634
452667800,CPU,19.9,7440.21,6.608,2.031
472034895,CPU,22.56,5452.59,7.078,2.505
473256287,CPU,21.41,8836.57,7.467,2.956
488975881,CPU,0.82,8850.06,0.288,0.317
491820265,CPU,0.91,3733.08,0.271,0.276
11001360,RTX 3050,23.75,3339.61,5.859,3.399
12274968,RTX 3050,16.17,1230.1,3.694,1.742
22539415,RTX 3050,15.02,7112.38,4.218,1.851
40986495,RTX 3050,4.39,2638.81,1.069,0.633
55735019,RTX 3050,19.52,5440.14,5.264,2.306
56183911,RTX 3050,17.53,3602.81,4.443,2.197
59513173,RTX 3050,8.38,8777.85,2.512,1.289
65845133,RTX 3050,16.83,7976.49,4.937,2.454
67518283,RTX 3050,11.44,6713.76,3.229,1.775
69825709,RTX 3050,8.57,5881.96,2.358,1.312
94960059,RTX 3050,6.65,2908.52,1.67,0.995
97829507,RTX 3050,8.35,6168.51,2.344,1.103
109451599,RTX 3050,7.37,4590.85,1.973,1.079
153258310,RTX 3050,15.07,9833.98,4.828,2.771
156392236,RTX 3050,17.28,3798.51,4.583,2.324
159140370,RTX 3050,6.14,3397.95,1.607,0.961
167742437,RTX 3050,20.75,8420.36,6.413,3.773
207805871,RTX 3050,7.08,9064.06,2.264,1.261
213690066,RTX 3050,18.94,5619.07,5.456,2.759
219318406,RTX 3050,6.03,8009.16,1.876,1.157
248434331,RTX 3050,16.44,5041.96,4.706,2.572
250501701,RTX 3050,19.37,7591.13,6.019,3.263
262365583,RTX 3050,14.05,5718.55,4.133,2.409
265637719,RTX 3050,1.85,1002.03,0.461,0.429
266772337,RTX 3050,9.76,9248.84,3.206,1.632
269111131,RTX 3050,4.18,4339.05,1.177,0.764
278523783,RTX 3050,5.04,9829.19,1.691,1.058
284798639,RTX 3050,16.4,3737.73,4.55,2.194
292292802,RTX 3050,20.58,6177.8,6.211,3.029
309901112,RTX 3050,23.7,2950.28,6.453,3.485
318890368,RTX 3050,14.94,6106.37,4.541,2.367
322518224,RTX 3050,9.61,4816.42,2.804,1.517
325213210,RTX 3050,14.46,1688.98,3.78,2.276
329216639,RTX 3050,3.63,7952.94,1.173,0.792
329236506,RTX 3050,21.92,7699.1,7.03,3.285
335598892,RTX 3050,9.21,6700.32,2.87,1.439
348472316,RTX 3050,15.99,7667.4,5.158,2.793
356744515,RTX 3050,18.97,2491.03,5.165,2.738
360884945,RTX 3050,23.48,129.05,5.852,2.995
363735836,RTX 3050,10.9,8100.35,3.582,2.16
374941443,RTX 3050,6.42,5993.98,1.983,1.32
387541534,RTX 3050,8.71,9166.1,2.979,1.774
390107819,RTX 3050,10.4,1499.43,2.761,1.738
396551977,RTX 3050,1.39,9920.67,0.487,0.48
400490454,RTX 3050,5.56,7398.22,1.811,1.152
411175596,RTX 3050,6.16,1010.25,1.617,1.091
420167095,RTX 3050,5.94,302.76,1.522,1.017
431685552,RTX 3050,17.9,4862.27,5.433,2.899
435213807,RTX 3050,4.95,9805.46,1.753,1.071
437800381,RTX 3050,4.28,5976.53,1.35,0.882
438432449,RTX 3050,16.53,9055.3,5.734,2.963
448470231,RTX 3050,7.33,4835.48,2.235,1.228
452045887,RTX 3050,1.06,4118.95,0.316,0.486
465781247,RTX 3050,12.29,9052.73,4.303,2.593
480572931,RTX 3050,1.48,6435.44,0.481,0.62
484919586,RTX 3050,12.25,559.23,3.24,1.805
488468633,RTX 3050,20.83,9104.83,7.36,3.784
498315891,RTX 3050,18.08,2903.62,5.244,3.087
498593735,RTX 3050,23.52,856.12,6.322,3.283
13429056,RTX 3060,13.89,1408.0,3.582,2.156
18292029,RTX 3060,9.86,1795.94,2.585,1.429
25723470,RTX 3060,9.0,9309.74,3.031,1.849
34902012,RTX 3060,6.03,6984.69,1.9,1.108
36449968,RTX 3060,2.51,1283.61,0.65,0.407
47418790,RTX 3060,10.7,963.32,2.75,1.584
47970022,RTX 3060,6.02,5911.84,1.842,1.071
67899449,RTX 3060,3.49,6065.56,1.082,0.613
74978346,RTX 3060,17.83,1261.37,4.685,2.542
89319016,RTX 3060,1.39,8289.31,0.466,0.329
95119008,RTX 3060,2.9,4179.78,0.853,0.51
100230949,RTX 3060,14.39,1787.34,3.895,2.278
105296504,RTX 3060,10.27,8022.03,3.433,1.828
121084312,RTX 3060,3.16,4575.44,0.952,0.532
125243898,RTX 3060,21.25,5667.0,6.648,3.397
129483721,RTX 3060,5.41,6047.76,1.716,1.014
134303385,RTX 3060,20.75,1867.34,5.707,3.512
139482222,RTX 3060,20.94,9292.41,7.365,3.552
153621653,RTX 3060,11.35,8685.65,3.942,2.496
153624333,RTX 3060,18.18,5588.37,5.734,3.685
153888753,RTX 3060,1.83,9646.0,0.654,0.438
175548918,RTX 3060,7.74,3291.76,2.277,1.575
211652058,RTX 3060,1.29,2939.94,0.38,0.42
213151083,RTX 3060,11.81,4180.22,3.633,2.231
227938356,RTX 3060,17.77,1565.97,5.004,2.701
228759960,RTX 3060,3.49,7183.8,1.191,0.73
235107174,RTX 3060,12.03,3695.97,3.669,2.038
251288458,RTX 3060,15.23,8606.79,5.472,3.078
257573004,RTX 3060,10.91,9482.35,4.031,2.21
258930698,RTX 3060,23.44,5614.56,7.693,3.95
270310924,RTX 3060,23.32,9742.23,8.721,4.47
271054686,RTX 3060,1.66,1607.3,0.476,0.48
285762368,RTX 3060,8.11,671.31,2.254,1.658
286382162,RTX 3060,12.57,9325.11,4.672,2.927
286835065,RTX 3060,7.83,6574.47,2.677,1.69
291691257,RTX 3060,15.41,2611.7,4.616,2.698
292208581,RTX 3060,18.01,8526.4,6.551,3.288
298148046,RTX 3060,15.8,9102.75,5.859,3.003
298486714,RTX 3060,7.2,2656.86,2.165,1.309
302187041,RTX 3060,12.61,5671.99,4.211,2.728
315012128,RTX 3060,2.34,322.53,0.648,0.558
315552627,RTX 3060,21.63,8967.66,8.038,4.382
320815150,RTX 3060,4.07,9808.82,1.553,1.053
330639866,RTX 3060,17.2,521.16,4.828,3.299
333113672,RTX 3060,19.65,9232.4,7.405,4.261
336384025,RTX 3060,11.35,378.33,3.175,2.247
339569902,RTX 3060,4.13,2627.25,1.259,1.047
347944905,RTX 3060,3.94,2715.97,1.208,0.838
349671492,RTX 3060,2.38,5046.06,0.792,0.645
350412745,RTX 3060,20.9,7939.12,7.625,4.327
352301689,RTX 3060,5.31,9878.67,2.053,1.505
356570064,RTX 3060,14.95,3299.58,4.696,3.024
360049820,RTX 3060,7.29,4111.17,2.358,1.442
361367974,RTX 3060,13.12,9377.13,5.015,3.041
367358667,RTX 3060,9.97,1920.78,2.99,1.661
369517892,RTX 3060,11.78,4809.38,3.915,2.686
373169978,RTX 3060,19.27,903.23,5.573,3.647
383702656,RTX 3060,13.99,9849.83,5.463,3.374
387096011,RTX 3060,13.6,9785.19,5.307,3.018
387192297,RTX 3060,9.28,5599.24,3.186,2.259
391161873,RTX 3060,10.14,3775.37,3.278,1.922
397332876,RTX 3060,11.12,1850.71,3.361,1.896
413988135,RTX 3060,15.1,8083.52,5.656,3.124
418959900,RTX 3060,23.51,2079.86,7.221,4.27
424175057,RTX 3060,19.27,1017.94,5.697,3.224
424342405,RTX 3060,10.06,2070.15,3.094,2.322
429020586,RTX 3060,0.86,2570.8,0.27,0.491
434795081,RTX 3060,11.45,867.01,3.378,2.064
444409162,RTX 3060,5.61,9640.08,2.223,1.785
444792278,RTX 3060,23.26,8429.11,8.897,4.714
448334423,RTX 3060,1.39,3049.37,0.447,0.555
470096979,RTX 3060,18.41,313.24,5.378,3.12
472578090,RTX 3060,20.5,7885.36,7.787,5.189
473287181,RTX 3060,8.27,5931.68,2.955,2.282
474479465,RTX 3060,23.55,3562.63,7.774,4.932
483275518,RTX 3060,4.65,3415.32,1.532,1.085
487260630,RTX 3060,16.64,5252.08,5.843,3.164
491219466,RTX 3060,16.24,9282.85,6.471,3.554
19864885,RTX 4050,17.57,900.21,2.813,1.508
20842043,RTX 4050,20.55,5985.75,3.938,2.067
25404218,RTX 4050,3.59,7165.95,0.715,0.375
26188910,RTX 4050,11.0,5393.29,2.072,1.044
44398031,RTX 4050,13.17,6307.88,2.574,1.362
47993295,RTX 4050,9.78,2155.54,1.66,0.844
59087294,RTX 4050,18.39,5824.95,3.559,1.768
65400350,RTX 4050,1.82,3616.73,0.328,0.18
74173399,RTX 4050,15.43,3084.69,2.737,1.523
84763138,RTX 4050,7.76,8079.45,1.628,0.787
98236914,RTX 4050,20.63,1266.44,3.454,1.928
101781126,RTX 4050,0.63,4649.07,0.119,0.113
120662170,RTX 4050,10.03,9976.37,2.256,1.313
126342875,RTX 4050,17.08,7442.54,3.57,1.977
126382182,RTX 4050,19.04,1304.69,3.227,1.443
126631133,RTX 4050,17.42,9875.13,3.915,2.151
130983641,RTX 4050,20.07,2705.58,3.589,1.7
133805540,RTX 4050,2.3,1798.8,0.398,0.282
142133411,RTX 4050,19.74,9425.55,4.405,2.407
145899262,RTX 4050,16.29,6249.32,3.304,1.467
148825889,RTX 4050,17.04,6221.73,3.457,1.96
156685177,RTX 4050,21.17,9938.91,4.821,2.273
157114277,RTX 4050,18.55,9756.15,4.203,2.112
166736808,RTX 4050,2.26,6488.91,0.466,0.331
176581790,RTX 4050,10.92,5951.94,2.219,1.109
177801150,RTX 4050,17.06,9987.97,3.921,1.862
182474938,RTX 4050,3.24,9524.46,0.736,0.512
190895519,RTX 4050,17.16,8199.38,3.761,2.177
196701320,RTX 4050,12.84,5610.54,2.6,1.567
204325504,RTX 4050,15.93,6126.74,3.29,1.859
209232863,RTX 4050,2.03,5621.58,0.413,0.324
219219812,RTX 4050,7.38,3809.69,1.418,0.89
224923624,RTX 4050,4.91,4647.25,0.973,0.589
227265109,RTX 4050,22.23,8263.07,4.947,2.179
233176595,RTX 4050,1.7,6662.37,0.361,0.291
240854431,RTX 4050,17.18,1765.42,3.092,1.767
242206937,RTX 4050,19.88,1802.99,3.585,2.206
251096176,RTX 4050,17.85,9709.33,4.182,2.111
265418980,RTX 4050,8.78,6622.19,1.884,0.983
270961950,RTX 4050,13.11,2028.92,2.409,1.219
278050549,RTX 4050,2.68,8448.79,0.611,0.465
279972803,RTX 4050,19.04,4300.92,3.805,2.147
301622033,RTX 4050,18.21,6902.41,3.993,2.192
306653594,RTX 4050,23.72,6650.03,5.169,2.572
307664864,RTX 4050,20.29,2134.85,3.792,1.794
309144029,RTX 4050,21.01,6502.87,4.561,2.615
328225101,RTX 4050,19.64,2559.54,3.756,1.865
336607628,RTX 4050,22.13,6661.84,4.876,2.908
349666555,RTX 4050,7.39,7600.25,1.684,0.98
351674258,RTX 4050,7.3,1613.68,1.359,0.862
355372238,RTX 4050,23.81,2279.85,4.55,2.527
357415817,RTX 4050,2.65,558.85,0.475,0.491
361390337,RTX 4050,1.07,9211.56,0.257,0.372
378737147,RTX 4050,8.26,184.46,1.469,1.04
380690313,RTX 4050,6.89,6686.96,1.543,0.95
383577774,RTX 4050,20.3,2062.76,3.886,2.235
422065319,RTX 4050,3.19,3002.96,0.64,0.594
428047685,RTX 4050,4.83,8164.93,1.151,0.723
441133110,RTX 4050,6.69,8610.44,1.622,1.181
442974054,RTX 4050,2.75,1096.01,0.518,0.547
443791942,RTX 4050,11.73,1314.88,2.229,1.364
445976378,RTX 4050,17.52,1830.4,3.397,1.937
450626488,RTX 4050,4.97,1019.88,0.936,0.653
457494282,RTX 4050,16.77,5663.74,3.731,1.879
460158030,RTX 4050,16.89,3911.58,3.546,2.047
466280592,RTX 4050,3.36,9096.66,0.834,0.612
482419828,RTX 4050,18.65,5735.69,4.194,2.655
482524121,RTX 4050,8.97,176.63,1.652,1.033
491460841,RTX 4050,13.31,8071.13,3.23,1.909
499544965,RTX 4050,19.07,4237.28,4.103,2.298
12880863,RTX 4090,16.11,2691.88,8.968,6.831
15076314,RTX 4090,21.96,8442.77,14.777,11.166
20968349,RTX 4090,17.68,330.42,9.032,6.512
20989763,RTX 4090,8.99,4345.94,5.321,3.539
23386142,RTX 4090,7.2,9521.0,5.018,2.945
31510572,RTX 4090,2.87,4880.04,1.737,1.101
32486839,RTX 4090,7.93,3282.23,4.544,3.081
42297557,RTX 4090,4.93,3636.11,2.871,2.017
42590566,RTX 4090,6.81,3367.86,3.93,2.926
42857662,RTX 4090,3.27,7339.07,2.151,1.716
47641002,RTX 4090,18.34,8806.47,12.637,9.299
58029919,RTX 4090,3.05,5178.9,1.884,1.381
58381148,RTX 4090,4.73,7372.75,3.134,2.41
62708995,RTX 4090,13.34,7653.37,8.93,6.389
68567685,RTX 4090,9.78,2447.08,5.516,4.416
70932451,RTX 4090,13.12,6419.91,8.479,5.127
76566296,RTX 4090,22.23,9082.21,15.617,12.25
79550590,RTX 4090,5.1,9604.03,3.642,2.769
88451927,RTX 4090,9.26,9259.01,6.569,4.6
100243450,RTX 4090,15.07,2864.85,8.735,6.174
109994178,RTX 4090,21.85,2108.84,12.368,8.485
117144524,RTX 4090,10.46,8364.43,7.307,5.032
129152061,RTX 4090,1.73,3273.82,1.029,0.8
131005228,RTX 4090,3.07,1813.16,1.733,1.291
131250228,RTX 4090,1.47,9460.38,1.066,0.856
144415065,RTX 4090,11.42,3257.73,6.827,5.502
145101224,RTX 4090,21.43,8329.87,15.114,9.671
151895978,RTX 4090,15.56,312.69,8.356,6.517
168546280,RTX 4090,11.66,5433.33,7.576,4.641
177583202,RTX 4090,4.53,4879.69,2.899,2.376
179078877,RTX 4090,17.89,1863.45,10.3,6.401
179733464,RTX 4090,18.24,4033.83,11.353,7.904
189620348,RTX 4090,10.68,5908.43,7.103,5.822
189799346,RTX 4090,15.92,8516.24,11.482,7.738
192766712,RTX 4090,1.59,7777.06,1.123,1.015
195922624,RTX 4090,1.71,814.04,0.952,0.826
208064582,RTX 4090,3.66,982.91,2.06,1.823
210669510,RTX 4090,20.82,3848.49,13.025,8.03
221290655,RTX 4090,22.2,4121.42,14.074,8.721
227350352,RTX 4090,17.63,8425.86,12.858,10.269
227365520,RTX 4090,15.7,2011.28,9.253,6.795
230140655,RTX 4090,9.52,3249.68,5.874,4.721
231803105,RTX 4090,8.34,1000.97,4.739,3.839
234341683,RTX 4090,9.88,4247.58,6.321,4.036
235883455,RTX 4090,22.01,233.13,12.156,7.869
242075053,RTX 4090,4.27,8286.66,3.118,2.461
243807574,RTX 4090,21.99,106.08,12.118,9.415
257530767,RTX 4090,20.51,8399.21,15.112,9.995
258247561,RTX 4090,21.38,9809.56,16.422,10.278
258823154,RTX 4090,21.37,8873.35,15.976,9.772
262655773,RTX 4090,10.08,5667.29,6.832,5.508
268567797,RTX 4090,10.95,2115.97,6.576,4.66
291560055,RTX 4090,17.64,1967.96,10.624,7.085
299645519,RTX 4090,13.22,8957.47,10.054,7.992
301193847,RTX 4090,20.27,2719.2,12.591,8.384
311241525,RTX 4090,10.39,1944.93,6.296,4.957
330698901,RTX 4090,9.94,9288.92,7.718,5.553
334435689,RTX 4090,2.17,148.83,1.237,1.264
346409316,RTX 4090,2.5,9142.64,1.944,1.769
351829955,RTX 4090,18.83,4660.06,12.742,9.461
367644664,RTX 4090,11.06,1725.95,6.781,5.667
373146715,RTX 4090,15.09,5697.41,10.647,7.13
374298159,RTX 4090,16.81,9016.3,13.149,8.123
385039614,RTX 4090,15.77,5211.9,10.996,9.021
391596396,RTX 4090,13.17,9331.45,10.459,8.648
403509252,RTX 4090,10.09,2284.37,6.395,4.671
422613204,RTX 4090,5.36,2003.39,3.384,2.572
423570626,RTX 4090,21.57,8277.48,16.788,11.873
445668931,RTX 4090,3.47,2179.98,2.223,2.041
461634674,RTX 4090,11.19,7593.39,8.641,7.266
498184839,RTX 4090,10.8,1447.0,6.851,4.942
18990077,TPU,4.47,4957.89,0.9,0.333
25860095,TPU,8.02,8880.56,1.83,0.629
28108358,TPU,17.98,2227.33,3.3,1.195
44967668,TPU,15.23,3433.85,2.939,1.057
50045164,TPU,14.04,8998.69,3.246,1.324
69646838,TPU,18.93,6687.24,4.11,1.649
71629371,TPU,3.89,9054.94,0.908,0.434
76974397,TPU,15.17,8187.33,3.46,1.48
104702542,TPU,10.95,6595.55,2.403,1.117
107434008,TPU,9.61,4201.8,1.951,0.756
110028524,TPU,11.3,7611.03,2.565,1.08
124110469,TPU,1.18,2976.68,0.231,0.136
127916461,TPU,3.33,4184.8,0.681,0.326
131662108,TPU,8.8,8243.01,2.053,0.919
136356282,TPU,11.24,5887.71,2.441,1.147
166537568,TPU,13.53,1180.98,2.519,1.263
185910620,TPU,10.37,1724.55,1.985,0.984
191865986,TPU,12.77,7429.95,2.973,1.137
194454485,TPU,0.65,128.02,0.117,0.13
200502825,TPU,23.63,8051.19,5.624,2.285
218294870,TPU,6.33,4529.76,1.355,0.558
219604385,TPU,16.76,2244.58,3.312,1.367
220950245,TPU,20.18,1737.87,3.915,1.631
228328344,TPU,21.19,6949.96,4.926,2.343
229323830,TPU,9.34,9032.37,2.313,0.972
232333156,TPU,3.2,4290.11,0.683,0.332
236716947,TPU,23.29,8437.94,5.683,2.639
240780292,TPU,5.57,9243.61,1.394,0.601
242486061,TPU,8.34,9443.21,2.101,0.984
252941062,TPU,15.59,8165.68,3.796,1.652
258572617,TPU,19.71,3557.57,4.141,1.728
269071428,TPU,17.49,5154.75,3.894,1.847
270900455,TPU,14.84,9502.36,3.783,1.681
274509799,TPU,22.06,1289.93,4.291,1.732
283928676,TPU,11.4,378.39,2.148,1.131
286281407,TPU,17.04,2743.15,3.513,1.43
308450959,TPU,16.78,1231.01,3.296,1.574
324868411,TPU,8.93,1228.87,1.764,0.997
343004017,TPU,21.73,4115.88,4.797,1.834
344626823,TPU,19.02,3375.94,4.094,2.053
347478143,TPU,20.19,2290.63,4.184,1.937
354650519,TPU,6.9,302.67,1.329,0.654
359292917,TPU,14.44,9928.84,3.846,1.567
361811455,TPU,21.53,9236.03,5.625,2.143
362200958,TPU,23.63,2789.36,5.012,2.112
366899726,TPU,3.88,9213.5,1.015,0.644
368629035,TPU,4.08,2469.34,0.857,0.51
371646698,TPU,20.15,4970.02,4.624,1.859
379287162,TPU,18.82,1253.13,3.794,1.66
394617143,TPU,23.43,4993.28,5.424,2.285
396749336,TPU,12.29,5844.65,2.928,1.37
404653529,TPU,12.4,2870.42,2.677,1.153
408259568,TPU,20.57,5892.12,4.928,2.407
413940191,TPU,4.72,2065.47,0.993,0.686
416459024,TPU,5.47,6631.56,1.346,0.667
419141356,TPU,7.03,6040.22,1.699,0.92
428858252,TPU,16.05,553.46,3.203,1.693
446122343,TPU,11.78,4312.57,2.713,1.361
449837604,TPU,10.53,3224.6,2.338,1.288
449961561,TPU,23.42,7740.21,6.032,2.273
455796444,TPU,8.56,9298.79,2.314,1.194
456358351,TPU,23.96,248.07,4.769,1.892
461623415,TPU,10.99,2505.48,2.387,1.149
463320099,TPU,21.34,2631.28,4.66,1.949
469349625,TPU,22.28,5147.4,5.319,2.103
497288923,TPU,15.16,7451.39,3.932,1.795
